gene,median_log2fc,combined_p,significant_fraction,evidence_score,gene_name,gene_type,aliases,gene_summary,go_terms,pathways,known_ad_evidence,ad_evidence_type,amyloid_related,tau_related,neuroinflammation_related,synaptic_related,rna_processing_related,literature_notes
ADAMTS2,0.8656690105555511,0.0088987778603084,0.3333333333333333,0.7213908421296259,ADAM metallopeptidase with thrombospondin type 1 motif 2,protein-coding,ADAM-TS2; ADAMTS-2; ADAMTS-3; EDSDERMS; NPI; PC I-NP; PCI-NP; PCINP; PCPNI; PNPI,"This gene encodes a member of the ADAMTS (a disintegrin and metalloproteinase with thrombospondin motifs) protein family. Members of the family share several distinct protein modules, including a propeptide region, a metalloproteinase domain, a disintegrin-like domain, and a thrombospondin type 1 (TS) motif. Individual members of this family differ in the number of C-terminal TS motifs, and some have unique C-terminal domains. The encoded preproprotein is proteolytically processed to generate the mature procollagen N-proteinase. This proteinase excises the N-propeptide of the fibrillar procollagens types I-III and type V. Mutations in this gene cause Ehlers-Danlos syndrome type VIIC, a recessively inherited connective-tissue disorder. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Feb 2016].",collagen fibril organization; extracellular matrix; extracellular matrix organization; extracellular region; metalloendopeptidase activity; metallopeptidase activity; peptidase activity; proteolysis; zinc ion binding,reactome: Collagen biosynthesis and modifying enzymes; reactome: Collagen formation; reactome: Defective B3GALTL causes PpS; reactome: Disease; reactome: Diseases associated with O-glycosylation of proteins; reactome: Diseases of glycosylation; reactome: Diseases of metabolism; reactome: Extracellular matrix organization; reactome: Metabolism of proteins; reactome: O-glycosylation of TSR domain-containing proteins; reactome: O-linked glycosylation; reactome: Post-translational protein modification; wikipathways: Type I collagen synthesis in the context of Osteogenesis imperfecta,,,,,,,,
DUSP6,-0.8585677226327464,6.847381093492322e-09,0.3333333333333333,0.7154731021939552,dual specificity phosphatase 6,protein-coding,HH19; MKP3; PYST1,"The protein encoded by this gene is a member of the dual specificity protein phosphatase subfamily. These phosphatases inactivate their target kinases by dephosphorylating both the phosphoserine/threonine and phosphotyrosine residues. They negatively regulate members of the mitogen-activated protein (MAP) kinase superfamily (MAPK/ERK, SAPK/JNK, p38), which are associated with cellular proliferation and differentiation. Different members of the family of dual specificity phosphatases show distinct substrate specificities for various MAP kinases, different tissue distribution and subcellular localization, and different modes of inducibility of their expression by extracellular stimuli. This gene product inactivates ERK2, is expressed in a variety of tissues with the highest levels in heart and pancreas, and unlike most other members of this family, is localized in the cytoplasm. Mutations in this gene have been associated with congenital hypogonadotropic hypogonadism. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jan 2014].",ERK1 and ERK2 cascade; MAP kinase tyrosine phosphatase activity; MAP kinase tyrosine/serine/threonine phosphatase activity; MAPK cascade; cell differentiation; cytoplasm; cytosol; negative regulation of ERK1 and ERK2 cascade; negative regulation of MAPK cascade; nucleoplasm; peptidyl-tyrosine dephosphorylation; phosphoprotein phosphatase activity; positive regulation of apoptotic process; protein binding; protein serine/threonine phosphatase activity; protein tyrosine phosphatase activity; protein tyrosine/serine/threonine phosphatase activity; protein tyrosine/threonine phosphatase activity; regulation of heart growth; response to growth factor; response to nitrosative stress; response to xenobiotic stimulus; signal transduction,biocarta: regulation of map kinase pathways through dual specificity phosphatases; kegg: Acute myeloid leukemia - Homo sapiens (human); kegg: MAPK signaling pathway - Homo sapiens (human); kegg: Transcriptional misregulation in cancer - Homo sapiens (human); pid: ErbB1 downstream signaling; pid: FGF signaling pathway; reactome: Cytokine Signaling in Immune system; reactome: Disease; reactome: Diseases of signal transduction by growth factor receptors and second messengers; reactome: ERK/MAPK targets; reactome: ERKs are inactivated; reactome: Immune System; reactome: Innate Immune System; reactome: Interleukin-17 signaling; reactome: MAP kinase activation; reactome: MAPK family signaling cascades; reactome: MAPK targets/ Nuclear events mediated by MAP kinases; reactome: MAPK1/MAPK3 signaling; reactome: MyD88 cascade initiated on plasma membrane; reactome: MyD88 dependent cascade initiated on endosome; reactome: MyD88-independent TLR4 cascade ; reactome: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; reactome: Negative regulation of MAPK pathway; reactome: Nuclear Events (kinase and transcription factor activation); reactome: Oncogenic MAPK signaling; reactome: RAF-independent MAPK1/3 activation; reactome: RAF/MAP kinase cascade; reactome: Signal Transduction; reactome: Signaling by Interleukins; reactome: Signaling by MAPK mutants; reactome: Signaling by NTRK1 (TRKA); reactome: Signaling by NTRKs; reactome: Signaling by Receptor Tyrosine Kinases; reactome: TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation; reactome: TRIF (TICAM1)-mediated TLR4 signaling ; reactome: Toll Like Receptor 10 (TLR10) Cascade; reactome: Toll Like Receptor 2 (TLR2) Cascade; reactome: Toll Like Receptor 3 (TLR3) Cascade; reactome: Toll Like Receptor 4 (TLR4) Cascade; reactome: Toll Like Receptor 5 (TLR5) Cascade; reactome: Toll Like Receptor 7/8 (TLR7/8) Cascade; reactome: Toll Like Receptor 9 (TLR9) Cascade; reactome: Toll Like Receptor TLR1:TLR2 Cascade; reactome: Toll Like Receptor TLR6:TLR2 Cascade; reactome: Toll-like Receptor Cascades; wikipathways: FBXL10 enhancement of MAP-ERK signaling in diffuse large B-cell lymphoma; wikipathways: MAPK Signaling Pathway; wikipathways: Pancreatic adenocarcinoma pathway,,,,,,,,
ABCC12,-0.823728592211697,2.6357246739019636e-05,0.3333333333333333,0.6864404935097475,ATP binding cassette subfamily C member 12,protein-coding,MRP9,"This gene is a member of the superfamily of ATP-binding cassette (ABC) transporters and the encoded protein contains two ATP-binding domains and 12 transmembrane regions. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies: ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White. This gene is a member of the MRP subfamily which is involved in multi-drug resistance. This gene and another subfamily member are arranged head-to-tail on chromosome 16q12.1. Increased expression of this gene is associated with breast cancer. [provided by RefSeq, Jul 2008].",ABC-type transporter activity; ATP binding; ATP hydrolysis activity; endoplasmic reticulum; endoplasmic reticulum membrane; membrane; transmembrane transport,kegg: ABC transporters - Homo sapiens (human),,,,,,,,
CPM,0.707883304559652,0.0008664108142573,0.3333333333333333,0.5899027537997099,carboxypeptidase M,protein-coding,,"The protein encoded by this gene is a membrane-bound arginine/lysine carboxypeptidase. Its expression is associated with monocyte to macrophage differentiation. This encoded protein contains hydrophobic regions at the amino and carboxy termini and has 6 potential asparagine-linked glycosylation sites. The active site residues of carboxypeptidases A and B are conserved in this protein. Three alternatively spliced transcript variants encoding the same protein have been described for this gene. [provided by RefSeq, Jul 2008].",anatomical structure morphogenesis; carboxypeptidase activity; cell surface; extracellular exosome; extracellular region; metallocarboxypeptidase activity; peptide metabolic process; plasma membrane; protein processing; proteolysis; zinc ion binding,reactome: Metabolism of proteins; reactome: Post-translational modification: synthesis of GPI-anchored proteins; reactome: Post-translational protein modification,,,,,,,,
BDNF,-0.7005871131380594,0.003674649622338,0.3333333333333333,0.5838225942817161,brain derived neurotrophic factor,protein-coding,ANON2; BULN2,"This gene encodes a member of the nerve growth factor family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature protein. Binding of this protein to its cognate receptor promotes neuronal survival in the adult brain. Expression of this gene is reduced in Alzheimer's, Parkinson's, and Huntington's disease patients. This gene may play a role in the regulation of the stress response and in the biology of mood disorders. [provided by RefSeq, Nov 2015].","axon; axon guidance; brain-derived neurotrophic factor receptor signaling pathway; cell surface receptor protein tyrosine kinase signaling pathway; circadian rhythm; collateral sprouting; cytoplasm; cytoplasmic vesicle; dendrite; endoplasmic reticulum lumen; extracellular region; glutamatergic synapse; growth factor activity; hippocampal mossy fiber to CA3 synapse; modulation of chemical synaptic transmission; negative regulation of apoptotic signaling pathway; negative regulation of myotube differentiation; negative regulation of neuron apoptotic process; nerve development; nerve growth factor signaling pathway; nervous system development; neuron projection morphogenesis; neuronal dense core vesicle; perinuclear region of cytoplasm; positive regulation of brain-derived neurotrophic factor receptor signaling pathway; positive regulation of collateral sprouting; positive regulation of neuron projection development; positive regulation of synapse assembly; presynapse; protein binding; regulation of protein localization to cell surface; secretory granule; secretory vesicle; signaling receptor binding; synapse assembly; synaptic vesicle; trans-synaptic signaling by BDNF, modulating synaptic transmission","biocarta: role of erk5 in neuronal survival pathway; kegg: Alcoholism - Homo sapiens (human); kegg: Cocaine addiction - Homo sapiens (human); kegg: Huntington disease - Homo sapiens (human); kegg: MAPK signaling pathway - Homo sapiens (human); kegg: Neurotrophin signaling pathway - Homo sapiens (human); kegg: PI3K-Akt signaling pathway - Homo sapiens (human); kegg: Pathways of neurodegeneration - multiple diseases - Homo sapiens (human); kegg: Ras signaling pathway - Homo sapiens (human); kegg: cAMP signaling pathway - Homo sapiens (human); netpath: BDNF; pid: Neurotrophic factor-mediated Trk receptor signaling; pid: Posttranslational regulation of adherens junction stability and dissassembly; pid: SHP2 signaling; pid: p75(NTR)-mediated signaling; reactome: Activated NTRK2 signals through CDK5; reactome: Activated NTRK2 signals through FRS2 and FRS3; reactome: Activated NTRK2 signals through FYN; reactome: Activated NTRK2 signals through PI3K; reactome: Activated NTRK2 signals through PLCG1; reactome: Activated NTRK2 signals through RAS; reactome: BDNF activates NTRK2 (TRKB) signaling; reactome: Constitutive Signaling by Aberrant PI3K in Cancer; reactome: Disease; reactome: Diseases of signal transduction by growth factor receptors and second messengers; reactome: Gene expression (Transcription); reactome: Generic Transcription Pathway; reactome: Intracellular signaling by second messengers; reactome: MECP2 regulates transcription of neuronal ligands; reactome: NPAS4 regulates expression of target genes; reactome: NTRK2 activates RAC1; reactome: Negative regulation of the PI3K/AKT network; reactome: PI3K/AKT Signaling in Cancer; reactome: PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling; reactome: PIP3 activates AKT signaling; reactome: RNA Polymerase II Transcription; reactome: Signal Transduction; reactome: Signaling by NTRK2 (TRKB); reactome: Signaling by NTRKs; reactome: Signaling by Receptor Tyrosine Kinases; reactome: Transcriptional Regulation by MECP2; reactome: Transcriptional Regulation by NPAS4; wikipathways: BDNF-TrkB Signaling; wikipathways: Brain-derived neurotrophic factor (BDNF) signaling pathway; wikipathways: Cell migration and invasion through p75NTR; wikipathways: ERK Pathway in Huntington,s Disease; wikipathways: Follicle Stimulating Hormone (FSH) signaling pathway; wikipathways: Fragile X Syndrome; wikipathways: MAPK Signaling Pathway; wikipathways: MECP2 and Associated Rett Syndrome; wikipathways: Neural Crest Cell Migration during Development; wikipathways: Neural Crest Cell Migration in Cancer; wikipathways: PI3K-Akt signaling pathway; wikipathways: Spinal Cord Injury; wikipathways: Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways; wikipathways: Synaptic signaling pathways associated with autism spectrum disorder; wikipathways: mBDNF and proBDNF regulation of GABA neurotransmission",,,,,,,,
CEND1,-0.6685435145607768,0.0040994876782954,0.3333333333333333,0.5571195954673139,cell cycle exit and neuronal differentiation 1,protein-coding,BM88,"The protein encoded by this gene is a neuron-specific protein. The similar protein in pig enhances neuroblastoma cell differentiation in vitro and may be involved in neuronal differentiation in vivo. Multiple pseudogenes have been reported for this gene. [provided by RefSeq, Jul 2008].",cerebellar Purkinje cell differentiation; cerebellar granular layer maturation; cerebellum development; membrane; mitochondrion; neuron differentiation; protein binding; radial glia guided migration of cerebellar granule cell; vesicle,,,,,,,,,
SERPINA5,0.6606237518961269,0.0003055855104729,0.3333333333333333,0.5505197932467724,serpin family A member 5,protein-coding,PAI-3; PAI3; PCI; PCI-B; PLANH3; PROCI,"The protein encoded by this gene is a member of the serpin family of proteins, a group of proteins that inhibit serine proteases. This gene is one in a cluster of serpin genes located on the q arm of chromosome 14. This family member is a glycoprotein that can inhibit several serine proteases, including protein C and various plasminogen activators and kallikreins, and it thus plays diverse roles in hemostasis and thrombosis in multiple organs. [provided by RefSeq, Aug 2012].",acrosin binding; acrosomal membrane; external side of plasma membrane; extracellular exosome; extracellular matrix; extracellular region; fusion of sperm to egg plasma membrane involved in single fertilization; glycosaminoglycan binding; heparin binding; membrane; phosphatidylcholine binding; platelet alpha granule; platelet dense tubular network; protease binding; protein C inhibitor-KLK3 complex; protein C inhibitor-PLAT complex; protein C inhibitor-PLAU complex; protein C inhibitor-TMPRSS11E complex; protein C inhibitor-TMPRSS7 complex; protein C inhibitor-coagulation factor V complex; protein C inhibitor-coagulation factor XI complex; protein C inhibitor-coagulation factor Xa complex; protein C inhibitor-plasma kallikrein complex; protein C inhibitor-thrombin complex; protein binding; protein-containing complex; retinoic acid binding; seminal clot liquefaction; serine-type endopeptidase inhibitor activity; spermatogenesis,kegg: Complement and coagulation cascades - Homo sapiens (human); reactome: Amplification and propagation of coagulation cascade; reactome: Coagulation pathway; reactome: Fibrin formation; reactome: Hemostasis; reactome: Regulation of clotting cascade; wikipathways: Complement and Coagulation Cascades,,,,,,,,
BEX5,-0.6477491768298465,0.0003685511290932,0.3333333333333333,0.5397909806915386,brain expressed X-linked 5,protein-coding,NGFRAP1L1,"Predicted to enable signaling receptor binding activity. Predicted to be involved in signal transduction. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]",cytoplasm; protein binding; signal transduction; signaling receptor binding,,,,,,,,,
ZNF652,0.6383090923877681,0.0075436531645047,0.3333333333333333,0.5319242436564734,zinc finger protein 652,protein-coding,,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]","DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; negative regulation of transcription by RNA polymerase II; nucleus; protein binding; regulation of transcription by RNA polymerase II",,,,,,,,,
KRT5,-0.6346358720489372,0.0002351765399151,0.3333333333333333,0.5288632267074477,keratin 5,protein-coding,CK5; DDD; DDD1; EBS1; EBS2; EBS2A; EBS2B; EBS2C; EBS2D; EBS2E; EBS2F; K5; KRT5A,"The protein encoded by this gene is a member of the keratin gene family. The type II cytokeratins consist of basic or neutral proteins which are arranged in pairs of heterotypic keratin chains coexpressed during differentiation of simple and stratified epithelial tissues. This type II cytokeratin is specifically expressed in the basal layer of the epidermis with family member KRT14. Mutations in these genes have been associated with a complex of diseases termed epidermolysis bullosa simplex. The type II cytokeratins are clustered in a region of chromosome 12q12-q13. [provided by RefSeq, Jul 2008].",cytoplasm; cytosol; epidermis development; extracellular exosome; intermediate filament; intermediate filament organization; intermediate filament polymerization; keratin filament; keratinization; membrane; nucleus; protein binding; protein-containing complex; regulation of cell migration; regulation of protein localization; response to mechanical stimulus; scaffold protein binding; structural constituent of cytoskeleton; structural constituent of skin epidermis,netpath: EGFR1; pid: Glucocorticoid receptor regulatory network; pid: Validated transcriptional targets of deltaNp63 isoforms; reactome: Cell junction organization; reactome: Cell-Cell communication; reactome: Developmental Biology; reactome: Developmental Cell Lineages; reactome: Developmental Cell Lineages of the Integumentary System; reactome: Developmental Lineage of Mammary Gland Luminal Epithelial Cells; reactome: Developmental Lineage of Mammary Gland Myoepithelial Cells; reactome: Developmental Lineage of Mammary Stem Cells; reactome: Developmental Lineages of the Mammary Gland; reactome: Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin; reactome: Formation of the cornified envelope; reactome: Keratinization; reactome: Type I hemidesmosome assembly,,,,,,,,
PRKX,0.6052423695383164,0.0001338531053882,0.3333333333333333,0.5043686412819304,protein kinase cAMP-dependent X-linked catalytic subunit,protein-coding,PKX1,"This gene encodes a serine threonine protein kinase that has similarity to the catalytic subunit of cyclic AMP dependent protein kinases. The encoded protein is developmentally regulated and may be involved in renal epithelial morphogenesis. This protein may also be involved in macrophage and granulocyte maturation. Abnormal recombination between this gene and a related pseudogene on chromosome Y is a frequent cause of sex reversal disorder in XX males and XY females. Pseudogenes of this gene are found on chromosomes X, 15 and Y. [provided by RefSeq, Feb 2010].",ATP binding; adenylate cyclase-activating G protein-coupled receptor signaling pathway; angiogenesis; cAMP-dependent protein kinase activity; cAMP-dependent protein kinase complex; cell adhesion; cell-substrate adhesion; cytoplasm; cytosol; endothelial cell migration; endothelial cell proliferation; epithelial tube morphogenesis; kidney morphogenesis; myeloid cell differentiation; nucleoplasm; nucleus; peptidyl-serine phosphorylation; protein autophosphorylation; protein binding; protein kinase activity; protein serine kinase activity; protein serine/threonine kinase activity; regulation of cell adhesion; regulation of cell migration; regulation of epithelial cell differentiation involved in kidney development,netpath: EGFR1; reactome: ADORA2B mediated anti-inflammatory cytokines production; reactome: Activation of NMDA receptors and postsynaptic events; reactome: Anti-inflammatory response favouring Leishmania parasite infection; reactome: CREB1 phosphorylation through the activation of Adenylate Cyclase; reactome: Ca-dependent events; reactome: CaM pathway; reactome: Calmodulin induced events; reactome: DAG and IP3 signaling; reactome: Disease; reactome: FCGR3A-mediated IL10 synthesis; reactome: G alpha (i) signalling events; reactome: G-protein mediated events; reactome: GPCR downstream signalling; reactome: Infectious disease; reactome: Intracellular signaling by second messengers; reactome: Leishmania infection; reactome: Leishmania parasite growth and survival; reactome: Neuronal System; reactome: Neurotransmitter receptors and postsynaptic signal transmission; reactome: Opioid Signalling; reactome: PKA-mediated phosphorylation of CREB; reactome: PLC beta mediated events; reactome: Parasitic Infection Pathways; reactome: Post NMDA receptor activation events; reactome: Signal Transduction; reactome: Signaling by GPCR; reactome: Transmission across Chemical Synapses; wikipathways: Chemokine signaling pathway,,,,,,,,
COL12A1,-0.5667024366252562,0.0019925816404517,0.3333333333333333,0.4722520305210468,collagen type XII alpha 1 chain,protein-coding,BA209D8.1; BTHLM2; COL12A1L; DJ234P15.1; EDSMYP; UCMD2,"This gene encodes the alpha chain of type XII collagen, a member of the FACIT (fibril-associated collagens with interrupted triple helices) collagen family. Type XII collagen is a homotrimer found in association with type I collagen, an association that is thought to modify the interactions between collagen I fibrils and the surrounding matrix. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008].",FACIT collagen trimer; animal gross anatomical part developmental process; collagen fibril organization; collagen type XII trimer; endodermal cell differentiation; endoplasmic reticulum lumen; extracellular exosome; extracellular matrix; extracellular matrix structural constituent conferring tensile strength; extracellular region; extracellular vesicle; tissue development,kegg: Protein digestion and absorption - Homo sapiens (human); reactome: Assembly of collagen fibrils and other multimeric structures; reactome: Collagen biosynthesis and modifying enzymes; reactome: Collagen chain trimerization; reactome: Collagen degradation; reactome: Collagen formation; reactome: Degradation of the extracellular matrix; reactome: Extracellular matrix organization,,,,,,,,
FIBP,-0.5646696147735728,0.0002835146792549,0.3333333333333333,0.4705580123113106,FGF1 intracellular binding protein,protein-coding,FGFIBP; FIBP-1; TROFAS,"Acidic fibroblast growth factor is mitogenic for a variety of different cell types and acts by stimulating mitogenesis or inducing morphological changes and differentiation. The FIBP protein is an intracellular protein that binds selectively to acidic fibroblast growth factor (aFGF). It is postulated that FIBP may be involved in the mitogenic action of aFGF. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].",endomembrane system; fibroblast growth factor binding; fibroblast growth factor receptor signaling pathway; membrane; mitochondrion; nuclear speck; nucleus; platelet aggregation,netpath: Fibroblast growth factor-1; wikipathways: Modulators of TCR signaling and T cell activation,,,,,,,,
PHF19,0.5515909931789547,0.0019455346129604,0.3333333333333333,0.4596591609824622,PHD finger protein 19,protein-coding,MTF2L1; PCL3; TDRD19B,"Enables methylated histone binding activity. Involved in positive regulation of histone H3-K27 methylation. Colocalizes with ESC/E(Z) complex. [provided by Alliance of Genome Resources, Apr 2022]","DNA binding; ESC/E(Z) complex; chromatin binding; epigenetic regulation of gene expression; heterochromatin formation; histone H3K36me3 reader activity; histone H3K4me3 reader activity; negative regulation of gene expression, epigenetic; negative regulation of transcription by RNA polymerase II; nucleoplasm; nucleus; protein binding; stem cell differentiation; stem cell population maintenance",reactome: Epigenetic regulation of gene expression; reactome: Gene expression (Transcription); reactome: PRC2 methylates histones and DNA,,,,,,,,
EFR3B,-0.5346195308146546,0.0013378166173018,0.3333333333333333,0.4455162756788788,EFR3 homolog B,protein-coding,KIAA0953,"Involved in phosphatidylinositol phosphate biosynthetic process and protein localization to plasma membrane. Located in actin cytoskeleton; cytosol; and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",cytosol; phosphatidylinositol phosphate biosynthetic process; plasma membrane; protein binding; protein localization to plasma membrane,,,,,,,,,
PDE10A,-0.5308423941319349,0.0003127953367866,0.3333333333333333,0.4423686617766124,phosphodiesterase 10A,protein-coding,ADSD2; HSPDE10A; IOLOD; PDE10A19,"The protein encoded by this gene belongs to the cyclic nucleotide phosphodiesterase family. It plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides. This protein can hydrolyze both cAMP and cGMP to the corresponding nucleoside 5' monophosphate, but has higher affinity for cAMP, and is more efficient with cAMP as substrate. Alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Dec 2011].","3',5'-cGMP-stimulated cyclic-nucleotide phosphodiesterase activity; 3',5'-cyclic-AMP phosphodiesterase activity; 3',5'-cyclic-GMP phosphodiesterase activity; 3',5'-cyclic-nucleotide phosphodiesterase activity; cAMP binding; cAMP catabolic process; cGMP binding; cGMP catabolic process; cytosol; glutamatergic synapse; negative regulation of cAMP/PKA signal transduction; negative regulation of receptor guanylyl cyclase signaling pathway; phosphoric diester hydrolase activity; signal transduction; synapse",kegg: Morphine addiction - Homo sapiens (human); kegg: Purine metabolism - Homo sapiens (human); kegg: cAMP signaling pathway - Homo sapiens (human); reactome: G alpha (s) signalling events; reactome: GPCR downstream signalling; reactome: Hemostasis; reactome: Nitric oxide stimulates guanylate cyclase; reactome: Platelet homeostasis; reactome: Signal Transduction; reactome: Signaling by GPCR; reactome: cGMP effects; smpdb: AICA-Ribosiduria; smpdb: Adenine phosphoribosyltransferase deficiency (APRT); smpdb: Adenosine Deaminase Deficiency; smpdb: Adenylosuccinate Lyase Deficiency; smpdb: Azathioprine Action Pathway; smpdb: Gout or Kelley-Seegmiller Syndrome; smpdb: Lesch-Nyhan Syndrome (LNS); smpdb: Mercaptopurine Action Pathway; smpdb: Mitochondrial DNA depletion syndrome; smpdb: Molybdenum Cofactor Deficiency; smpdb: Myoadenylate deaminase deficiency; smpdb: Purine Metabolism; smpdb: Purine Nucleoside Phosphorylase Deficiency; smpdb: Thioguanine Action Pathway; smpdb: Xanthine Dehydrogenase Deficiency (Xanthinuria); smpdb: Xanthinuria type I; smpdb: Xanthinuria type II; wikipathways: Phosphodiesterases in neuronal function,,,,,,,,
P2RX7,0.528166356429534,0.0005700825823161,0.3333333333333333,0.440138630357945,purinergic receptor P2X 7,protein-coding,P2X7,"The product of this gene belongs to the family of purinoceptors for ATP. This receptor functions as a ligand-gated ion channel and is responsible for ATP-dependent lysis of macrophages through the formation of membrane pores permeable to large molecules. Activation of this nuclear receptor by ATP in the cytoplasm may be a mechanism by which cellular activity can be coupled to changes in gene expression. Multiple alternatively spliced variants have been identified, most of which fit nonsense-mediated decay (NMD) criteria. [provided by RefSeq, Jul 2010].",ATP binding; apoptotic signaling pathway; bleb; bleb assembly; calcium ion transmembrane transport; calcium-mediated signaling; cell surface receptor signaling pathway; cell-cell junction; cellular response to ATP; channel activity; cytoplasm; excitatory postsynaptic potential; external side of plasma membrane; extracellularly ATP-gated monoatomic cation channel activity; extrinsic apoptotic signaling pathway; identical protein binding; lipopolysaccharide binding; membrane; membrane depolarization; monoatomic cation transmembrane transport; monoatomic ion channel activity; monoatomic ion transport; negative regulation of MAPK cascade; negative regulation of bone resorption; negative regulation of cell volume; neuromuscular junction; neuronal cell body; organophosphate ester transport; plasma membrane; plasma membrane phospholipid scrambling; pore complex assembly; positive regulation of NLRP3 inflammasome complex assembly; positive regulation of bleb assembly; positive regulation of bone mineralization; positive regulation of calcium ion transport into cytosol; positive regulation of cellular component organization; positive regulation of cytoskeleton organization; positive regulation of gene expression; positive regulation of glycolytic process; positive regulation of interleukin-1 beta production; positive regulation of monoatomic ion transmembrane transport; postsynapse; potassium channel activity; potassium ion transmembrane transport; protein binding; protein homotrimerization; purinergic nucleotide receptor activity; purinergic nucleotide receptor signaling pathway; regulation of sodium ion transport; regulation of transport; response to ATP; response to ischemia; sensory perception of pain; signaling receptor activity; signaling receptor binding; sodium channel activity; sodium ion transmembrane transport; synapse,"kegg: Calcium signaling pathway - Homo sapiens (human); kegg: NOD-like receptor signaling pathway - Homo sapiens (human); kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); reactome: Cell recruitment (pro-inflammatory response); reactome: Cellular responses to mechanical stimuli; reactome: Cellular responses to stimuli; reactome: Disease; reactome: Elevation of cytosolic Ca2+ levels; reactome: Hemostasis; reactome: Immune System; reactome: Infectious disease; reactome: Inflammasomes; reactome: Innate Immune System; reactome: Leishmania infection; reactome: Mechanical load activates signaling by PIEZO1 and integrins in osteocytes; reactome: Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways; reactome: Parasitic Infection Pathways; reactome: Platelet calcium homeostasis; reactome: Platelet homeostasis; reactome: Purinergic signaling in leishmaniasis infection; reactome: The NLRP3 inflammasome; wikipathways: Purinergic signaling",,,,,,,,
NCALD,-0.8629155644634805,0.0029836154593187,0.0,0.4314577822317402,neurocalcin delta,protein-coding,,"This gene encodes a member of the neuronal calcium sensor (NCS) family of calcium-binding proteins. The protein contains an N-terminal myristoylation signal and four EF-hand calcium binding loops. The protein is cytosolic at resting calcium levels; however, elevated intracellular calcium levels induce a conformational change that exposes the myristoyl group, resulting in protein association with membranes and partial co-localization with the perinuclear trans-golgi network. The protein is thought to be a regulator of G protein-coupled receptor signal transduction. Several alternatively spliced variants of this gene have been determined, all of which encode the same protein; additional variants may exist but their biological validity has not been determined. [provided by RefSeq, Jul 2008].",actin binding; alpha-tubulin binding; calcium ion binding; calcium-mediated signaling; clathrin binding; clathrin coat of trans-Golgi network vesicle; cytosol; protein binding; regulation of signal transduction; tubulin binding; vesicle-mediated transport,kegg: Olfactory transduction - Homo sapiens (human); reactome: Activation of Ca-permeable Kainate Receptor; reactome: Activation of kainate receptors upon glutamate binding; reactome: Ionotropic activity of kainate receptors; reactome: Neuronal System; reactome: Neurotransmitter receptors and postsynaptic signal transmission; reactome: Transmission across Chemical Synapses,,,,,,,,
GFAP,0.8470036751661176,0.0024507363054068,0.0,0.4235018375830588,glial fibrillary acidic protein,protein-coding,ALXDRD,"This gene encodes one of the major intermediate filament proteins of mature astrocytes. It is used as a marker to distinguish astrocytes from other glial cells during development. Mutations in this gene cause Alexander disease, a rare disorder of astrocytes in the central nervous system. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Oct 2008].",astrocyte end-foot; astrocyte projection; cell body; cytoplasm; cytoplasmic side of lysosomal membrane; cytoskeleton; cytosol; enteric nervous system development; glial cell projection; identical protein binding; integrin binding; intermediate filament; intermediate filament cytoskeleton; intermediate filament organization; kinase binding; lysosome; membrane; neural crest cell migration; positive regulation of glial cell proliferation; protein binding; regulation of chaperone-mediated autophagy; regulation of protein-containing complex assembly; response to ethanol; structural constituent of cytoskeleton,biocarta: prion pathway; kegg: JAK-STAT signaling pathway - Homo sapiens (human); reactome: Autophagy; reactome: Chaperone Mediated Autophagy; reactome: Nuclear signaling by ERBB4; reactome: Signal Transduction; reactome: Signaling by ERBB4; reactome: Signaling by Receptor Tyrosine Kinases; wikipathways: Neural Crest Differentiation; wikipathways: Spinal Cord Injury,,,,,,,,
