model,n,positive_rate,accuracy,f1,roc_auc,average_precision
sequence_only,130,0.5,0.5,0.5185185185185185,0.5072189349112427,0.5186246233295166
sequence_structure,130,0.5,0.5615384615384615,0.5581395348837209,0.5673372781065089,0.593837842996921
sequence_knowledge,130,0.5,0.5153846153846153,0.46153846153846156,0.5214201183431952,0.5266704061355642
sequence_structure_knowledge,130,0.5,0.5461538461538461,0.5042016806722689,0.5479289940828403,0.5413948732983604
