study_id,transcript_id,log2fc,pvalue,padj,n_ad,n_control,ensembl_id
GSE53697,A1BG,0.0482688467148744,0.8219187376543522,0.9999543342423776,9,8,
GSE53697,LILRA6,-0.4368050655087219,0.1529332125361023,0.9999543342423776,9,8,
GSE53697,C1orf35,-0.104378687686955,0.6812984633930109,0.9999543342423776,9,8,
GSE53697,ATAD4,0.0083841383128748,0.9370911749919776,0.9999543342423776,9,8,
GSE53697,RBM42,0.0699367065110099,0.4415617840123585,0.9999543342423776,9,8,
GSE53697,CENPO,-0.1031428769330093,0.1580624203845267,0.9999543342423776,9,8,
GSE53697,C19orf57,-0.0380604023209172,0.8495264186836324,0.9999543342423776,9,8,
GSE53697,CRELD2,-0.2199563442022656,0.2721323223335653,0.9999543342423776,9,8,
GSE53697,ZNF343,-0.0542658363653929,0.7520926110177863,0.9999543342423776,9,8,
GSE53697,FBXL15,-0.0826960377479668,0.5882082430531484,0.9999543342423776,9,8,
GSE53697,ZNF576,0.0370729962906959,0.8014036606563618,0.9999543342423776,9,8,
GSE53697,THTPA,-0.0279839866308888,0.7784826714106833,0.9999543342423776,9,8,
GSE53697,EFHD2,-0.0956265547615142,0.5999047004379583,0.9999543342423776,9,8,
GSE53697,TTPAL,0.1266310014217433,0.4164270045580034,0.9999543342423776,9,8,
GSE53697,BRCC3,0.0492112018671777,0.6456524206651637,0.9999543342423776,9,8,
GSE53697,LILRP2,0.1315744948111678,0.0218185527514271,0.9999543342423776,9,8,
GSE53697,FSD1,-0.0338457386078649,0.8703929547737508,0.9999543342423776,9,8,
GSE53697,IRX6,-0.0016778372769831,0.9620142698795294,0.9999543342423776,9,8,
GSE53697,IRX3,-0.0725701571463927,0.1333066494142068,0.9999543342423776,9,8,
GSE53697,THOC6,-0.0749516977083137,0.4675319133070701,0.9999543342423776,9,8,
GSE53697,ZNF557,0.0798424852504862,0.3592697050138617,0.9999543342423776,9,8,
GSE53697,MMEL1,0.1372248093551999,0.3189182584581488,0.9999543342423776,9,8,
GSE53697,WDR32,0.1675944325157932,0.3831615860664566,0.9999543342423776,9,8,
GSE53697,OR13A1,-0.0368832271386845,0.7073014825418242,0.9999543342423776,9,8,
GSE53697,OR7E91P,0.0139105041451398,0.8229016063232434,0.9999543342423776,9,8,
GSE53697,OR51B4,0.0714587266383768,0.250105811954442,0.9999543342423776,9,8,
GSE53697,OR51B2,0.0585384295923681,0.2932832864327841,0.9999543342423776,9,8,
GSE53697,C1orf89,0.3230909891109856,0.1579464184890944,0.9999543342423776,9,8,
GSE53697,ZXDC,0.0619305112426582,0.6433025931808716,0.9999543342423776,9,8,
GSE53697,BHLHB3,0.2094526572390354,0.2714496228085779,0.9999543342423776,9,8,
GSE53697,NSBP1,0.0769891971851519,0.6896132932670807,0.9999543342423776,9,8,
GSE53697,TMEM43,0.0351300828253915,0.7452189683865786,0.9999543342423776,9,8,
GSE53697,LENG1,-0.0929350434032993,0.6288649016843695,0.9999543342423776,9,8,
GSE53697,C7orf23,0.2235154464304374,0.1729987818983143,0.9999543342423776,9,8,
GSE53697,NOL12,-0.2269868924679983,0.3984720736247035,0.9999543342423776,9,8,
GSE53697,CARD14,0.0171082193090574,0.9632539193820332,0.9999543342423776,9,8,
